"IR"	"Hall"	"acce"	"gyro"	"magn"	"FSR"	"cap"	"photoLight"	"bio"	"mic"	"ultrasound"	"bend"	"buttonsResistance"	"video"	"piezo"	"pressureFlow"	"fabric"
"IR"	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Hall"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"acce"	0	0	9	1	0	1	0	1	1	0	0	0	0	0	1	0	0
"gyro"	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0
"magn"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FSR"	0	0	1	0	0	6	0	0	0	0	0	0	2	0	0	0	0
"cap"	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
"photoLight"	0	0	1	1	0	0	1	4	0	1	0	0	0	0	0	0	0
"bio"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"mic"	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
"ultrasound"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"bend"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"buttonsResistance"	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1	0
"video"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"piezo"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"pressureFlow"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"fabric"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
